rank,geekbenchSingle,geekbenchMulti,antutu9,coreCount,clockSpeed,PhoneCategory,company_Apple,company_Google,company_HiSilicon,company_MediaTek,company_Qualcomm,company_Samsung,company_Unisoc,cpuName_A10 Fusion,cpuName_A11 Bionic,cpuName_A12 Bionic,cpuName_A13 Bionic,cpuName_A14 Bionic,cpuName_A15 Bionic,cpuName_Apple A9,cpuName_Dimensity 1000,cpuName_Dimensity 1000 Plus,cpuName_Dimensity 1000L,cpuName_Dimensity 1100,cpuName_Dimensity 1200,cpuName_Dimensity 700,cpuName_Dimensity 720,cpuName_Dimensity 800,cpuName_Dimensity 800U,cpuName_Dimensity 810,cpuName_Dimensity 8100,cpuName_Dimensity 820,cpuName_Dimensity 900,cpuName_Dimensity 9000,cpuName_Dimensity 920,cpuName_Exynos 1080,cpuName_Exynos 1280,cpuName_Exynos 2100,cpuName_Exynos 2200,cpuName_Exynos 7420,cpuName_Exynos 7872,cpuName_Exynos 7884B,cpuName_Exynos 7885,cpuName_Exynos 7904,cpuName_Exynos 850,cpuName_Exynos 880,cpuName_Exynos 8890,cpuName_Exynos 8895,cpuName_Exynos 9609,cpuName_Exynos 9610,cpuName_Exynos 9611,cpuName_Exynos 980,cpuName_Exynos 9810,cpuName_Exynos 9820,cpuName_Exynos 9825,cpuName_Exynos 990,cpuName_Google Tensor,cpuName_Helio A25,cpuName_Helio G25,cpuName_Helio G35,cpuName_Helio G70,cpuName_Helio G80,cpuName_Helio G85,cpuName_Helio G88,cpuName_Helio G90,cpuName_Helio G90T,cpuName_Helio G95,cpuName_Helio G96,cpuName_Helio P23,cpuName_Helio P35,cpuName_Helio P60,cpuName_Helio P65,cpuName_Helio P70,cpuName_Helio P90,cpuName_Helio P95,cpuName_Kirin 659,cpuName_Kirin 710,cpuName_Kirin 710A,cpuName_Kirin 710F,cpuName_Kirin 810,cpuName_Kirin 820,cpuName_Kirin 9000,cpuName_Kirin 9000E,cpuName_Kirin 950,cpuName_Kirin 955,cpuName_Kirin 960,cpuName_Kirin 970,cpuName_Kirin 980,cpuName_Kirin 985,cpuName_Kirin 990 (4G),cpuName_Kirin 990 (5G),cpuName_Snapdragon 439,cpuName_Snapdragon 460,cpuName_Snapdragon 480,cpuName_Snapdragon 480 Plus,cpuName_Snapdragon 630,cpuName_Snapdragon 632,cpuName_Snapdragon 636,cpuName_Snapdragon 660,cpuName_Snapdragon 662,cpuName_Snapdragon 665,cpuName_Snapdragon 670,cpuName_Snapdragon 675,cpuName_Snapdragon 678,cpuName_Snapdragon 680,cpuName_Snapdragon 690,cpuName_Snapdragon 695,cpuName_Snapdragon 710,cpuName_Snapdragon 712,cpuName_Snapdragon 720G,cpuName_Snapdragon 730,cpuName_Snapdragon 730G,cpuName_Snapdragon 732G,cpuName_Snapdragon 750G,cpuName_Snapdragon 765,cpuName_Snapdragon 765G,cpuName_Snapdragon 768G,cpuName_Snapdragon 778G,cpuName_Snapdragon 778G Plus,cpuName_Snapdragon 780G,cpuName_Snapdragon 8 Gen 1,cpuName_Snapdragon 820,cpuName_Snapdragon 821,cpuName_Snapdragon 835,cpuName_Snapdragon 845,cpuName_Snapdragon 855,cpuName_Snapdragon 855 Plus,cpuName_Snapdragon 860,cpuName_Snapdragon 865,cpuName_Snapdragon 865 Plus,cpuName_Snapdragon 870,cpuName_Snapdragon 888,cpuName_Snapdragon 888 Plus,cpuName_Tiger T610,cpuName_Tiger T616,cpuName_Tiger T618,cpuName_Tiger T700,cpuName_Unisoc T606,coreConfig_ (1+1+6),coreConfig_ (1+3+4),coreConfig_ (2),coreConfig_ (2+2),coreConfig_ (2+2+4),coreConfig_ (2+4),coreConfig_ (2+6),coreConfig_ (4+4),coreConfig_ (8),gpu_ARM Mali G52 MP2,gpu_ARM Mali-G52 MC2,gpu_ARM Mali-G52 MP2,gpu_ARM Mali-T880 MP4,gpu_Adreno 505,gpu_Adreno 506,gpu_Adreno 508,gpu_Adreno 509,gpu_Adreno 512,gpu_Adreno 530,gpu_Adreno 540,gpu_Adreno 610,gpu_Adreno 612,gpu_Adreno 615,gpu_Adreno 616,gpu_Adreno 618,gpu_Adreno 619,gpu_Adreno 619L,gpu_Adreno 620,gpu_Adreno 630,gpu_Adreno 640,gpu_Adreno 642,gpu_Adreno 642L,gpu_Adreno 650,gpu_Adreno 660,gpu_Adreno 730,gpu_Apple A12 Bionic GPU,gpu_Apple A13 Bionic GPU,gpu_Apple GPU,gpu_IMG PowerVR GE8320,gpu_Mali G57 MC2,gpu_Mali G72 MP12,gpu_Mali G76 MP10,gpu_Mali G76 MP12,gpu_Mali G76 MP16,gpu_Mali G76 MP5,gpu_Mali-G51,gpu_Mali-G51 MP4,gpu_Mali-G52 2EEMC2,gpu_Mali-G52 MC2,gpu_Mali-G52 MP1,gpu_Mali-G52 MP2,gpu_Mali-G52 MP6,gpu_Mali-G57 MC2,gpu_Mali-G57 MC3,gpu_Mali-G57 MC4,gpu_Mali-G57 MC5,gpu_Mali-G57 MP1,gpu_Mali-G57 MP6,gpu_Mali-G610 MC6,gpu_Mali-G68,gpu_Mali-G68 MC4,gpu_Mali-G71 MP1,gpu_Mali-G71 MP2,gpu_Mali-G71 MP20,gpu_Mali-G71 MP8,gpu_Mali-G710,gpu_Mali-G72 MP3,gpu_Mali-G72MP18,gpu_Mali-G76 3EEMC4,gpu_Mali-G76 MC4,gpu_Mali-G77 MC9,gpu_Mali-G77 MP11,gpu_Mali-G77 MP8,gpu_Mali-G77 MP9,gpu_Mali-G78 MP10,gpu_Mali-G78 MP14,gpu_Mali-G78 MP20,gpu_Mali-G78 MP22,gpu_Mali-G78 MP24,gpu_Mali-T760 MP8,gpu_Mali-T830 MP2,gpu_Mali-T880 MP12,gpu_Mali-T880 MP4,gpu_PowerVR GE8320,gpu_PowerVR GM9446,gpu_PowerVR GT7600,gpu_Samsung Xclipse 920
1,1727,4688,794346,6,3223,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1269,4267,1017817,8,3050,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1213,3765,1028349,8,3000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1581,4093,730211,6,3100,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1162,3626,838764,8,2995,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1146,3534,963986,8,2800,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1120,3673,792308,8,2840,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,915,3775,780778,8,2850,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1038,2845,717527,8,2800,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,1039,3677,761270,8,3130,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
